contrast,correlation,Cluster Prominence,Cluster Shade,Dissimilarity,Energy,Entropy,Homogeneity,Phomogeneity,Maximum probability,Sum of sqaures,Autocorrelation,Sum of sqaures,Sum average ,Sum variance,Sum entropy,Difference variance ,Difference entropy,Information measure of correlation1 ,Informaiton measure of correlation2 ,Inverse difference normalized ,Inverse difference moment normalized ,Name,Decision
0.115651747,0.974481771,276.0044878,38.33254363,0.080062314,0.575232265,1.095121184,0.964410314,0.963272854,0.749770495,5.539032728,5.53798648,5.539032728,3.649521054,15.88233029,1.016322135,0.115651747,0.280882211,-0.747730341,0.854156922,0.991457396,0.998327624,'C:\Users\hp\OneDrive\Documents\Thesis\Thesis\Brain_Tumor\Matlab\Train\Benign\Axial\aBrats18_2013_9_1_t1ce.png',Benign
0.16739459,0.977783993,683.6254406,76.80861617,0.079227752,0.580247489,1.037464848,0.968991507,0.967643593,0.750280506,8.046618259,8.02780946,8.046618259,4.168488794,25.08567828,0.977353467,0.16739459,0.259966796,-0.76912909,0.852365555,0.99198872,0.997827037,'C:\Users\hp\OneDrive\Documents\Thesis\Thesis\Brain_Tumor\Matlab\Train\Benign\Axial\aBrats18_TCIA09_141_1_t1ce.png',Benign
0.20135199,0.968823237,843.2055251,88.50367381,0.092896023,0.67476042,0.955612656,0.963899619,0.962264053,0.81919678,6.416742446,6.372103374,6.416742446,3.601988112,20.14921927,0.875493633,0.20135199,0.293197717,-0.719578909,0.811411632,0.990638863,0.997426015,'C:\Users\hp\OneDrive\Documents\Thesis\Thesis\Brain_Tumor\Matlab\Train\Benign\Axial\aBrats18_TCIA09_177_1_t1ce.png',Benign
0.259400414,0.975778215,1163.870347,117.9364538,0.130265854,0.549362255,1.200787882,0.947001626,0.945251051,0.733005072,10.76634104,10.7095817,10.76634104,4.683840098,34.04825487,1.093730667,0.259400414,0.38076628,-0.701944649,0.85270823,0.986671669,0.996617674,'C:\Users\hp\OneDrive\Documents\Thesis\Thesis\Brain_Tumor\Matlab\Train\Benign\Axial\aBrats18_TCIA09_254_1_t1ce.png',Benign
0.267727488,0.973119119,1306.36568,126.7825525,0.117784516,0.584320665,1.185232765,0.95433715,0.952511967,0.760109791,9.721482179,9.65591009,9.721482179,4.386290928,30.56164281,1.083288799,0.267727488,0.348140442,-0.714249697,0.855578396,0.988199109,0.996679235,'C:\Users\hp\OneDrive\Documents\Thesis\Thesis\Brain_Tumor\Matlab\Train\Benign\Axial\aBrats18_TCIA09_255_1_t1ce.png',Benign
0.185439675,0.97386821,577.7562579,70.31016207,0.086442077,0.59597103,0.975180295,0.96647868,0.965104253,0.762279652,7.593094089,7.56346844,7.593094089,4.053653063,23.8770727,0.912019344,0.185439675,0.273873516,-0.747582559,0.829352459,0.991293297,0.997573873,'C:\Users\hp\OneDrive\Documents\Thesis\Thesis\Brain_Tumor\Matlab\Train\Benign\Axial\aBrats18_TCIA09_312_1_t1ce.png',Benign
0.217134485,0.979441309,1057.922132,107.943844,0.110366187,0.535827509,1.198410855,0.955446676,0.953811247,0.7220074,10.87924685,10.8448642,10.87924685,4.763438766,34.26831983,1.108021221,0.217134485,0.337456783,-0.723095875,0.861767528,0.988710456,0.997112602,'C:\Users\hp\OneDrive\Documents\Thesis\Thesis\Brain_Tumor\Matlab\Train\Benign\Axial\aBrats18_TCIA09_402_1_t1ce.png',Benign
0.174905648,0.981733632,1109.458203,112.9966775,0.084921319,0.585263135,1.080796717,0.966433089,0.965121067,0.757708107,9.553579317,9.534592595,9.553579317,4.397455513,30.3846133,1.019741455,0.174905648,0.273958272,-0.763415996,0.858314978,0.99138245,0.997694952,'C:\Users\hp\OneDrive\Documents\Thesis\Thesis\Brain_Tumor\Matlab\Train\Benign\Axial\aBrats18_TCIA09_428_1_t1ce.png',Benign
0.157973313,0.982163629,871.3471289,94.6393524,0.08008086,0.569896767,1.093168536,0.968073113,0.966541267,0.744577665,9.147290487,9.13643234,9.147290487,4.37584963,28.79785519,1.022908756,0.157973313,0.26691495,-0.770070574,0.863487085,0.991818586,0.997898145,'C:\Users\hp\OneDrive\Documents\Thesis\Thesis\Brain_Tumor\Matlab\Train\Benign\Axial\aBrats18_TCIA09_451_1_t1ce.png',Benign
0.159846441,0.984961262,1240.667417,125.9139384,0.063426712,0.593601492,0.948816369,0.976997473,0.975970707,0.759163954,10.41435235,10.40524476,10.41435235,4.547825039,34.33674792,0.909331527,0.159846441,0.205228411,-0.805984506,0.849837643,0.993796227,0.998014705,'C:\Users\hp\OneDrive\Documents\Thesis\Thesis\Brain_Tumor\Matlab\Train\Benign\Axial\aBrats18_TCIA09_462_1_t1ce.png',Benign
0.216633748,0.971356214,747.8863138,83.15218246,0.117561966,0.584529576,1.155496951,0.952334279,0.949975707,0.758440667,7.889726979,7.844994019,7.889726979,4.084995503,24.18145967,1.039993351,0.216633748,0.361157764,-0.697920051,0.842757323,0.987879453,0.997030416,'C:\Users\hp\OneDrive\Documents\Thesis\Thesis\Brain_Tumor\Matlab\Train\Benign\Axial\aBrats18_2013_0_1_t1ce.png',Benign
0.156230005,0.984776847,1136.879762,117.586204,0.068916275,0.586514293,0.971475848,0.973780976,0.972821697,0.754814959,10.18914522,10.18155433,10.18914522,4.529167942,33.29511196,0.933889524,0.156230005,0.22309721,-0.793080818,0.849148886,0.993126494,0.997982554,'C:\Users\hp\OneDrive\Documents\Thesis\Thesis\Brain_Tumor\Matlab\Train\Benign\Axial\aBrats18_TCIA09_493_1_t1ce.png',Benign
