v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20,v21,v22,Name
0.053968342,0.969451416,135.1799706,20.02183477,0.035719253,0.814811062,0.5313126,0.984331165,0.983786742,0.901660778,2.515162806,2.528342653,2.515162806,2.586122161,7.836373408,0.498764432,0.053968342,0.14932951,-0.776445913,0.700356268,0.996208925,0.999230552,'C:\Users\hp\OneDrive\Documents\Thesis\Thesis\Brain_Tumor\Matlab\Train\Benign\Coronal\cBrats18_2013_9_1_t1ce.png'
0.131230237,0.974800714,676.973906,73.74942992,0.048534416,0.738563905,0.680660129,0.983422762,0.982545853,0.856121512,5.244906131,5.230320565,5.244906131,3.281516306,17.172718,0.656910664,0.131230237,0.156918328,-0.805290133,0.7749327,0.995343688,0.998359499,'C:\Users\hp\OneDrive\Documents\Thesis\Thesis\Brain_Tumor\Matlab\Train\Benign\Coronal\cBrats18_TCIA09_141_1_t1ce.png'
0.125592307,0.972975096,661.8045877,69.86935873,0.066653685,0.745611653,0.779195208,0.972843298,0.971709416,0.862371454,4.734755481,4.720727738,4.734755481,3.136803257,15.00936633,0.720111771,0.125592307,0.233496509,-0.741348178,0.775010382,0.993138647,0.998310464,'C:\Users\hp\OneDrive\Documents\Thesis\Thesis\Brain_Tumor\Matlab\Train\Benign\Coronal\cBrats18_TCIA09_177_1_t1ce.png'
0.193785295,0.972114429,964.7240986,99.63832059,0.099387061,0.682466436,0.941412544,0.960066474,0.958325096,0.824046513,6.720736289,6.680390575,6.720736289,3.634628759,21.44195692,0.853058062,0.193785295,0.314618689,-0.702380449,0.799434675,0.989827319,0.997406953,'C:\Users\hp\OneDrive\Documents\Thesis\Thesis\Brain_Tumor\Matlab\Train\Benign\Coronal\cBrats18_TCIA09_254_1_t1ce.png'
0.170807021,0.978495523,1080.856194,110.0535413,0.092858931,0.647332235,1.019512657,0.962336195,0.960483861,0.801476247,7.678591777,7.653601135,7.678591777,3.882048572,24.43175409,0.929618447,0.170807021,0.30221574,-0.723615252,0.827798122,0.990424539,0.997655591,'C:\Users\hp\OneDrive\Documents\Thesis\Thesis\Brain_Tumor\Matlab\Train\Benign\Coronal\cBrats18_TCIA09_255_1_t1ce.png'
0.197976651,0.962620454,476.4860539,57.92120012,0.093637856,0.637283628,0.999720137,0.963362188,0.961699558,0.793770458,5.785935865,5.742546898,5.785935865,3.573983921,17.46051131,0.915843945,0.197976651,0.296475132,-0.722596278,0.822982901,0.99053116,0.997434809,'C:\Users\hp\OneDrive\Documents\Thesis\Thesis\Brain_Tumor\Matlab\Train\Benign\Coronal\cBrats18_TCIA09_312_1_t1ce.png'
0.202093823,0.970261607,758.8815416,84.13367825,0.09699465,0.631955861,1.043177393,0.962808473,0.96077543,0.791118406,6.921317758,6.879173969,6.921317758,3.785424838,21.42680649,0.950383745,0.202093823,0.301580838,-0.724453227,0.833210829,0.990211552,0.997285245,'C:\Users\hp\OneDrive\Documents\Thesis\Thesis\Brain_Tumor\Matlab\Train\Benign\Coronal\cBrats18_TCIA09_402_1_t1ce.png'
0.174256544,0.974574986,948.3149797,99.12771092,0.08008086,0.700953057,0.840616288,0.969470927,0.967915908,0.8344229,6.587783029,6.556458119,6.587783029,3.58704018,21.45111892,0.773166133,0.174256544,0.258830229,-0.733172182,0.788704848,0.991962611,0.99771976,'C:\Users\hp\OneDrive\Documents\Thesis\Thesis\Brain_Tumor\Matlab\Train\Benign\Coronal\cBrats18_TCIA09_428_1_t1ce.png'
0.13219462,0.974989487,748.4244115,79.83631001,0.042989216,0.758500989,0.640613363,0.986463184,0.985571723,0.867990838,5.193216897,5.17727024,5.193216897,3.225266828,17.25007868,0.615448979,0.13219462,0.134473821,-0.822760717,0.769136346,0.995999821,0.998412307,'C:\Users\hp\OneDrive\Documents\Thesis\Thesis\Brain_Tumor\Matlab\Train\Benign\Coronal\cBrats18_TCIA09_451_1_t1ce.png'
0.188815015,0.982055255,1506.973286,145.9997854,0.054190892,0.639994655,0.858307501,0.983415178,0.982583621,0.791146225,9.830268204,9.802904276,9.830268204,4.306414073,32.92293952,0.832553171,0.188815015,0.157692122,-0.835783141,0.841660448,0.995084573,0.997895022,'C:\Users\hp\OneDrive\Documents\Thesis\Thesis\Brain_Tumor\Matlab\Train\Benign\Coronal\cBrats18_TCIA09_462_1_t1ce.png'
