v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20,v21,v22,Name
0.159512616,0.936991891,157.3518941,22.26701411,0.089205404,0.639807333,0.98011678,0.9634422,0.961594105,0.794938845,3.530926754,3.498446787,3.530926754,3.041310819,9.553398096,0.885001512,0.159512616,0.295199408,-0.710615682,0.812723643,0.990758909,0.997804378,'C:\Users\hp\OneDrive\Documents\Train\malignanat\Coronal\cBrats18_CBICA_AXL_1_t1ce.png'
0.169137897,0.920828249,87.65927659,15.24712231,0.094398234,0.624844212,0.984400333,0.961365653,0.95936444,0.784386272,3.259951719,3.221891488,3.259951719,2.992182936,8.541714776,0.885486554,0.169137897,0.308044142,-0.686971269,0.801883708,0.990223445,0.997675412,'C:\Users\hp\OneDrive\Documents\Train\malignanat\Coronal\cBrats18_CBICA_AXM_1_t1ce.png'
0.1715674,0.907368446,149.7283983,18.6433532,0.082899825,0.706212348,0.818207629,0.967553908,0.965872399,0.836796766,2.776764666,2.733737632,2.776764666,2.752051632,7.597833197,0.735841461,0.1715674,0.271668452,-0.704960303,0.767898654,0.991593765,0.997755463,'C:\Users\hp\OneDrive\Documents\Train\malignanat\Coronal\cBrats18_CBICA_AXN_1_t1ce.png'
0.145232333,0.958668194,350.67013,43.50004461,0.073014902,0.747945827,0.727461203,0.971454348,0.969856607,0.863029831,3.971619534,3.94575347,3.971619534,3.007631606,12.37632658,0.663718586,0.145232333,0.245886948,-0.722308097,0.748777851,0.99256941,0.998037366,'C:\Users\hp\OneDrive\Documents\Train\malignanat\Coronal\cBrats18_CBICA_AXO_1_t1ce.png'
0.149256776,0.945435199,194.097121,26.85076151,0.078356098,0.702311213,0.802555686,0.96828554,0.966809259,0.833931436,3.549171497,3.52094287,3.549171497,2.985209707,10.4128115,0.728827593,0.149256776,0.264697824,-0.724106807,0.773212196,0.991947457,0.998001606,'C:\Users\hp\OneDrive\Documents\Train\malignanat\Coronal\cBrats18_CBICA_AXQ_1_t1ce.png'
0.130154579,0.936565891,138.2516576,19.5480953,0.070158845,0.702561277,0.815842,0.971461866,0.970001498,0.834849454,2.963911426,2.942582135,2.963911426,2.815496889,8.266840195,0.743449639,0.130154579,0.244087515,-0.722550287,0.77629877,0.992762494,0.998245793,'C:\Users\hp\OneDrive\Documents\Train\malignanat\Coronal\cBrats18_CBICA_AXW_1_t1ce.png'
0.226815404,0.890690648,122.8018346,17.15687178,0.107491585,0.628625019,1.012705465,0.958443063,0.956137855,0.787297966,3.140572263,3.072727441,3.140572263,2.931649373,8.033276855,0.90430635,0.226815404,0.329722954,-0.679888973,0.80476817,0.98914149,0.997039901,'C:\Users\hp\OneDrive\Documents\Train\malignanat\Coronal\cBrats18_CBICA_AYA_1_t1ce.png'
0.150870263,0.951423028,203.7408703,30.02649548,0.086404985,0.686711437,0.863459713,0.964179462,0.962523929,0.825400358,3.881988735,3.85448948,3.881988735,3.08352111,11.3708824,0.779143395,0.150870263,0.289257744,-0.706723682,0.7815445,0.991015743,0.997912125,'C:\Users\hp\OneDrive\Documents\Train\malignanat\Coronal\cBrats18_CBICA_AYI_1_t1ce.png'
0.214130062,0.905518411,110.2190777,17.6436661,0.097588116,0.642914905,0.957505573,0.963056468,0.960791819,0.79658015,3.307291379,3.246548159,3.307291379,2.980220881,8.832534431,0.855620158,0.214130062,0.303095612,-0.694297119,0.799242527,0.990213699,0.997228593,'C:\Users\hp\OneDrive\Documents\Train\malignanat\Coronal\cBrats18_CBICA_AYU_1_t1ce.png'
0.161293015,0.939196504,197.7015633,26.70315293,0.087350822,0.697952722,0.856206653,0.964523145,0.962749929,0.832206675,3.465185582,3.430485622,3.465185582,2.956204041,9.934039536,0.767609432,0.161293015,0.288966774,-0.699690406,0.775922026,0.990991182,0.997803443,'C:\Users\hp\OneDrive\Documents\Train\malignanat\Coronal\cBrats18_CBICA_AYW_1_t1ce.png'
0.087629009,0.979284655,464.2943957,50.03301207,0.047829675,0.6487687,0.881893776,0.980636859,0.97972393,0.798008179,4.879052699,4.887436133,4.879052699,3.356293061,14.68361212,0.84413429,0.087629009,0.178975031,-0.816476861,0.838939074,0.995069575,0.998785364,'C:\Users\hp\OneDrive\Documents\Train\malignanat\Coronal\cBrats18_CBICA_150_1_t1ce.png'
0.176574772,0.949084343,196.0778948,28.90050895,0.097458295,0.608133749,1.042607821,0.959992147,0.958068022,0.772887863,4.463699019,4.427286468,4.463699019,3.335614469,12.49454168,0.940798208,0.176574772,0.315588587,-0.712902581,0.82760631,0.989912927,0.997597644,'C:\Users\hp\OneDrive\Documents\Train\malignanat\Coronal\cBrats18_CBICA_AZD_1_t1ce.png'
0.220268729,0.946156733,254.0144563,35.81450343,0.115651747,0.604402594,1.077189232,0.953654145,0.951210262,0.771441289,4.989285298,4.933012491,4.989285298,3.462764626,14.21819139,0.961442665,0.220268729,0.354983071,-0.685035055,0.821267065,0.988130177,0.997025492,'C:\Users\hp\OneDrive\Documents\Train\malignanat\Coronal\cBrats18_CBICA_AZH_1_t1ce.png'
0.143915579,0.923180958,71.92664515,12.93021352,0.083604566,0.646573885,0.899839207,0.965194835,0.963598601,0.797516714,3.002365899,2.975565879,3.002365899,2.905722313,7.97408395,0.814998272,0.143915579,0.28281099,-0.708412354,0.792048473,0.991291147,0.997996375,'C:\Users\hp\OneDrive\Documents\Train\malignanat\Coronal\cBrats18_CBICA_BHB_1_t1ce.png'
0.145102512,0.92724582,119.1050881,18.05876164,0.079524485,0.704818737,0.824541387,0.967970107,0.966173293,0.836583489,2.918678746,2.88968945,2.918678746,2.803590471,8.094087636,0.741953536,0.145102512,0.267996323,-0.699209697,0.766729444,0.991800043,0.997987756,'C:\Users\hp\OneDrive\Documents\Train\malignanat\Coronal\cBrats18_CBICA_BHM_1_t1ce.png'
0.111293478,0.978724447,492.5265736,59.78905623,0.053968342,0.676046068,0.784845637,0.979247667,0.978141976,0.813503213,5.62880262,5.627646257,5.62880262,3.50300906,17.93925911,0.74829436,0.111293478,0.190169501,-0.797416578,0.804265108,0.994545966,0.998496791,'C:\Users\hp\OneDrive\Documents\Train\malignanat\Coronal\cBrats18_CBICA_151_1_t1ce.png'
0.188184457,0.964556367,664.8011057,72.40671657,0.086108252,0.700173729,0.893695295,0.966864389,0.965197212,0.834747452,5.428491804,5.386689663,5.428491804,3.362190633,16.92159614,0.814450677,0.188184457,0.276274661,-0.71556182,0.794075799,0.991342918,0.997586832,'C:\Users\hp\OneDrive\Documents\Train\malignanat\Coronal\cBrats18_CBICA_179_1_t1ce.png'
0.13534741,0.970663215,565.6852731,63.1233237,0.067451155,0.729600443,0.787028252,0.973397884,0.972115913,0.852189798,4.821069766,4.803191736,4.821069766,3.202548196,15.21652031,0.727730849,0.13534741,0.23150028,-0.743411616,0.778415703,0.993134755,0.998192203,'C:\Users\hp\OneDrive\Documents\Train\malignanat\Coronal\cBrats18_CBICA_186_1_t1ce.png'
0.186292783,0.978184891,1050.860751,109.2264096,0.077614265,0.624030764,0.997181605,0.9705835,0.969599705,0.784191541,8.377385024,8.34781762,8.377385024,4.084680224,26.76995528,0.941910021,0.186292783,0.24517507,-0.776023241,0.847117962,0.99231025,0.997698114,'C:\Users\hp\OneDrive\Documents\Train\malignanat\Coronal\cBrats18_CBICA_190_1_t1ce.png'
0.131081871,0.96549575,483.1360066,51.64695728,0.067951892,0.724840099,0.799569927,0.972929083,0.971501842,0.849231739,4.209527368,4.191726709,4.209527368,3.07100268,12.93095955,0.733476573,0.131081871,0.235371717,-0.740666571,0.780753224,0.993042631,0.998228499,'C:\Users\hp\OneDrive\Documents\Train\malignanat\Coronal\cBrats18_CBICA_192_1_t1ce.png'
0.172791424,0.954774657,499.7389287,52.60940944,0.105414453,0.676222864,1.022685721,0.955513894,0.953378799,0.821088454,4.282391005,4.244369025,4.282391005,3.111543847,12.30725389,0.911841259,0.172791424,0.33945786,-0.672495102,0.803233499,0.988946112,0.997564504,'C:\Users\hp\OneDrive\Documents\Train\malignanat\Coronal\cBrats18_CBICA_198_1_t1ce.png'
0.064706373,0.960194417,361.4236691,30.32755902,0.037147282,0.829849126,0.493835221,0.985058956,0.984063079,0.909691119,2.281447486,2.287209874,2.281447486,2.455021745,7.177309413,0.457299214,0.064706373,0.145983676,-0.776153037,0.682255393,0.996152881,0.999075779,'C:\Users\hp\OneDrive\Documents\Train\malignanat\Coronal\cBrats18_CBICA_199_1_t1ce.png'
0.141652989,0.9663533,440.1158574,51.22480447,0.052874139,0.696217147,0.80991579,0.981532578,0.980588027,0.830658098,4.676216174,4.655743177,4.676216174,3.238248903,14.36686652,0.770760953,0.141652989,0.173477081,-0.809991669,0.817299481,0.994898289,0.998265579,'C:\Users\hp\OneDrive\Documents\Train\malignanat\Coronal\cBrats18_CBICA_201_1_t1ce.png'
0.120603481,0.980756781,988.3413236,96.7713219,0.052317764,0.712763928,0.811027171,0.980435527,0.979534192,0.842026687,6.064008734,6.057445684,6.064008734,3.454901197,19.59134637,0.775852403,0.120603481,0.180621862,-0.805428581,0.815481522,0.994801712,0.998448439,'C:\Users\hp\OneDrive\Documents\Train\malignanat\Coronal\cBrats18_CBICA_203_1_t1ce.png'
0.115855751,0.957411328,181.8566427,27.16247893,0.076853887,0.703052617,0.842810256,0.966521446,0.965189671,0.836147662,3.502618875,3.490676088,3.502618875,2.958670635,10.13689396,0.765028506,0.115855751,0.270902313,-0.711313378,0.778207722,0.991849377,0.998333533,'C:\Users\hp\OneDrive\Documents\Train\malignanat\Coronal\cBrats18_2013_27_1_t1ce.png'
0.127558164,0.949087081,219.5429618,27.50031024,0.068508267,0.712922092,0.809951986,0.972217365,0.970905635,0.841488859,3.286786075,3.267820217,3.286786075,2.883671331,9.472986233,0.741311056,0.127558164,0.238848271,-0.741903086,0.784403299,0.992943939,0.998263202,'C:\Users\hp\OneDrive\Documents\Train\malignanat\Coronal\cBrats18_CBICA_226_1_t1ce.png'
0.126983244,0.972042953,544.4664027,60.25342734,0.058066969,0.713871035,0.791280133,0.97772107,0.976717257,0.841590861,4.839309002,4.826142191,4.839309002,3.236412867,15.15618975,0.746632559,0.126983244,0.200714952,-0.781224674,0.798362619,0.994170639,0.998351624,'C:\Users\hp\OneDrive\Documents\Train\malignanat\Coronal\cBrats18_CBICA_231_1_t1ce.png'
0.147532015,0.974032228,465.1433847,58.14955991,0.062703424,0.622548836,0.939104246,0.976121636,0.975229533,0.779963094,6.250394246,6.234576831,6.250394246,3.7243349,19.23197928,0.89293765,0.147532015,0.210588445,-0.795531061,0.843070292,0.99376449,0.998170318,'C:\Users\hp\OneDrive\Documents\Train\malignanat\Coronal\cBrats18_CBICA_235_1_t1ce.png'
